ticket_id,created_date,created_hour,created_weekday,classroom,room_attributed,av_configuration,category,subcategory,is_display_signal,is_repeat_14d,status,resolution_hours,resolution_band,requester,assigned_technician
INC0200091,2025-01-06,11,Monday,WIE-246,Yes,NVX early rollout (2021),AV Technical Support,Podium PC / login,No,No,Resolved,6.33,Same day (1-24h),Staff6497442,M. Reyes
INC0200636,2025-01-08,19,Wednesday,WIE-355,Yes,Legacy matrix (2017),AV Technical Support,No display / HDMI handshake,Yes,No,Resolved,36.27,Within a week,Faculty3660365,D. Lindqvist
INC0200221,2025-01-09,12,Thursday,WIE-251,Yes,Legacy matrix (2017),Lecture Capture,Capture scheduling / setup,No,No,Resolved,594.87,Over a week,Staff2028617,S. Patel
INC0200277,2025-01-10,10,Friday,Unattributed,No,Unattributed,Webconferencing,Zoom/Teams AV routing,No,No,Resolved,124.35,Within a week,Faculty5721409,A. Okafor
INC0200725,2025-01-10,11,Friday,WIE-352,Yes,NVX early rollout (2021),Equipment Maintenance & Repair,Cabling / connectors,No,No,Resolved,108.68,Within a week,Student7062035,D. Lindqvist
INC0200222,2025-01-11,10,Saturday,WIE-251,Yes,Legacy matrix (2017),Lecture Capture,Capture scheduling / setup,No,Yes,Resolved,144.62,Within a week,Staff745239,E. Marsh
INC0200120,2025-01-11,11,Saturday,WIE-148,Yes,NVX standard (2023),Webconferencing,Camera / PTZ,No,No,Resolved,40.55,Within a week,Staff1521426,D. Lindqvist
INC0200602,2025-01-11,17,Saturday,WIE-521,Yes,NVX standard (2023),Webconferencing,Zoom/Teams AV routing,No,No,Resolved,0.8,Under 1 hour,Faculty8671455,M. Reyes
INC0200092,2025-01-13,11,Monday,Unattributed,No,Unattributed,AV Technical Support,Podium PC / login,No,No,Resolved,4.47,Same day (1-24h),Faculty1798619,J. Whitfield
INC0200262,2025-01-13,13,Monday,Unattributed,No,Unattributed,AV Technical Support,No display / HDMI handshake,Yes,No,Resolved,120.78,Within a week,Staff8806051,D. Lindqvist
INC0200603,2025-01-14,12,Tuesday,Unattributed,No,Unattributed,Webconferencing,Zoom/Teams AV routing,No,No,Resolved,391.22,Over a week,Staff7267321,S. Patel
INC0200011,2025-01-14,13,Tuesday,Unattributed,No,Unattributed,AV Technical Support,No display / HDMI handshake,Yes,No,Resolved,47.8,Within a week,Student8934396,A. Okafor
INC0200023,2025-01-15,10,Wednesday,WIE-306,Yes,NVX standard (2023),AV Technical Support,Control system / touch panel,No,No,Resolved,367.73,Over a week,Faculty3025086,M. Reyes
INC0200382,2025-01-15,12,Wednesday,Unattributed,No,Unattributed,Setup & Configuration,Event / class AV setup,No,No,Resolved,393.8,Over a week,Faculty8613657,D. Lindqvist
INC0200526,2025-01-16,10,Thursday,WIE-318,Yes,NVX standard (2023),Consultation,AV consultation / training,No,No,Resolved,33.82,Within a week,Student5378156,M. Reyes
INC0200546,2025-01-16,14,Thursday,WIE-544,Yes,NVX standard (2023),AV Technical Support,Podium PC / login,No,No,Resolved,0.65,Under 1 hour,Faculty4576284,M. Reyes
INC0200033,2025-01-17,12,Friday,Unattributed,No,Unattributed,Lecture Capture,Capture scheduling / setup,No,No,Resolved,523.1,Over a week,Faculty5629374,S. Patel
INC0200278,2025-01-17,12,Friday,Unattributed,No,Unattributed,Webconferencing,Zoom/Teams AV routing,No,No,Resolved,0.12,Under 1 hour,Faculty3844489,M. Reyes
INC0200089,2025-01-17,19,Friday,WIE-544,Yes,NVX standard (2023),AV Technical Support,Podium PC / login,No,Yes,Resolved,5.35,Same day (1-24h),Staff1398494,J. Whitfield
INC0200143,2025-01-18,11,Saturday,WIE-355,Yes,Legacy matrix (2017),Equipment Maintenance & Repair,Cabling / connectors,No,No,Resolved,2.55,Same day (1-24h),Faculty1304657,D. Lindqvist
INC0200634,2025-01-20,14,Monday,Unattributed,No,Unattributed,AV Technical Support,Podium PC / login,No,No,Resolved,1.77,Same day (1-24h),Faculty4587523,L. Ferreira
INC0200657,2025-01-21,21,Tuesday,WIE-246,Yes,NVX early rollout (2021),Equipment Maintenance & Repair,Projector lamp / image quality,No,No,Resolved,72.6,Within a week,Student683029,D. Lindqvist
INC0200364,2025-01-22,9,Wednesday,WIE-312,Yes,Legacy matrix (2017),Consultation,AV consultation / training,No,No,Resolved,34.12,Within a week,Faculty3917616,J. Whitfield
INC0200369,2025-01-22,10,Wednesday,WIE-455,Yes,NVX early rollout (2021),Webconferencing,Zoom/Teams AV routing,No,No,Resolved,11.95,Same day (1-24h),Faculty6029419,S. Patel
INC0200667,2025-01-22,11,Wednesday,Unattributed,No,Unattributed,Lecture Capture,Recording failed / not captured,No,No,Resolved,26.73,Within a week,Faculty7371213,S. Patel
INC0200119,2025-01-22,11,Wednesday,WIE-404,Yes,NVX standard (2023),AV Technical Support,Podium PC / login,No,No,Resolved,75.18,Within a week,Staff3259372,A. Okafor
INC0200668,2025-01-23,8,Thursday,Unattributed,No,Unattributed,Lecture Capture,Recording failed / not captured,No,No,Resolved,0.32,Under 1 hour,Faculty9134227,D. Lindqvist
INC0200365,2025-01-25,15,Saturday,WIE-312,Yes,Legacy matrix (2017),Consultation,AV consultation / training,No,Yes,Resolved,280.43,Over a week,Faculty2238592,S. Patel
INC0200125,2025-01-26,11,Sunday,Unattributed,No,Unattributed,Lecture Capture,Capture scheduling / setup,No,No,Resolved,5331.67,Over a week,Student6987128,D. Lindqvist
INC0200727,2025-01-28,11,Tuesday,WIE-246,Yes,NVX early rollout (2021),Lecture Capture,Recording failed / not captured,No,No,Resolved,19.22,Same day (1-24h),Faculty485555,R. Calloway
INC0200074,2025-01-29,10,Wednesday,WIE-110,Yes,NVX standard (2023),AV Technical Support,Input switching failure,Yes,No,Resolved,25.22,Within a week,Faculty8494180,A. Okafor
INC0200549,2025-01-29,16,Wednesday,WIE-355,Yes,Legacy matrix (2017),Equipment Maintenance & Repair,Projector lamp / image quality,No,No,Resolved,127.32,Within a week,Faculty8629221,J. Whitfield
INC0200311,2025-01-30,20,Thursday,Unattributed,No,Unattributed,AV Technical Support,Audio / microphone,No,No,Resolved,5189.43,Over a week,Faculty7819248,A. Okafor
INC0200075,2025-01-31,15,Friday,WIE-110,Yes,NVX standard (2023),AV Technical Support,Input switching failure,Yes,Yes,Resolved,0.07,Under 1 hour,Staff3449026,J. Whitfield
INC0200136,2025-02-01,8,Saturday,WIE-105,Yes,NVX standard (2023),Webconferencing,Zoom/Teams AV routing,No,No,Resolved,538.43,Over a week,Faculty2574074,A. Okafor
INC0200728,2025-02-03,8,Monday,WIE-246,Yes,NVX early rollout (2021),Lecture Capture,Recording failed / not captured,No,Yes,Resolved,26.17,Within a week,Staff4173610,D. Lindqvist
INC0200651,2025-02-04,11,Tuesday,WIE-521,Yes,NVX standard (2023),Consultation,AV consultation / training,No,No,Resolved,217.42,Over a week,Faculty7464100,R. Calloway
INC0200669,2025-02-05,11,Wednesday,WIE-343,Yes,Legacy matrix (2017),Lecture Capture,Recording failed / not captured,No,No,Resolved,56.23,Within a week,Faculty912514,S. Patel
INC0200498,2025-02-05,12,Wednesday,Unattributed,No,Unattributed,Consultation,AV consultation / training,No,No,Resolved,13.5,Same day (1-24h),Faculty9985048,A. Okafor
INC0200729,2025-02-06,13,Thursday,WIE-246,Yes,NVX early rollout (2021),Lecture Capture,Recording failed / not captured,No,Yes,Resolved,58.72,Within a week,Student8677501,A. Okafor
INC0200245,2025-02-06,15,Thursday,Unattributed,No,Unattributed,AV Technical Support,No display / HDMI handshake,Yes,No,Resolved,1.2,Same day (1-24h),Student1281637,A. Okafor
INC0200381,2025-02-06,18,Thursday,Unattributed,No,Unattributed,Setup & Configuration,Event / class AV setup,No,No,Resolved,204.02,Over a week,Faculty1935138,A. Okafor
INC0200650,2025-02-08,8,Saturday,WIE-110,Yes,NVX standard (2023),Equipment Maintenance & Repair,Preventative maintenance,No,No,Resolved,344.97,Over a week,Student1827657,A. Okafor
INC0200097,2025-02-08,16,Saturday,WIE-258,Yes,NVX early rollout (2021),AV Technical Support,No display / HDMI handshake,Yes,No,Resolved,3.22,Same day (1-24h),Staff6112120,M. Reyes
INC0200137,2025-02-09,9,Sunday,WIE-105,Yes,NVX standard (2023),Webconferencing,Zoom/Teams AV routing,No,Yes,Resolved,0.72,Under 1 hour,Faculty6839459,D. Lindqvist
INC0200499,2025-02-09,18,Sunday,WIE-355,Yes,Legacy matrix (2017),Consultation,AV consultation / training,No,No,Resolved,43.27,Within a week,Student7549418,D. Lindqvist
INC0200025,2025-02-11,15,Tuesday,WIE-205,Yes,NVX standard (2023),Lecture Capture,Recording failed / not captured,No,No,Resolved,16.68,Same day (1-24h),Staff6988110,S. Patel
INC0200653,2025-02-12,10,Wednesday,WIE-355,Yes,Legacy matrix (2017),AV Technical Support,Podium PC / login,No,No,Resolved,451.9,Over a week,Staff5940427,K. Duval
INC0200573,2025-02-12,10,Wednesday,WIE-110,Yes,NVX standard (2023),AV Technical Support,No display / HDMI handshake,Yes,No,Resolved,0.08,Under 1 hour,Faculty816644,S. Patel
INC0200098,2025-02-13,20,Thursday,WIE-258,Yes,NVX early rollout (2021),AV Technical Support,No display / HDMI handshake,Yes,Yes,Resolved,1.52,Same day (1-24h),Faculty4388445,A. Okafor
INC0200574,2025-02-14,10,Friday,WIE-110,Yes,NVX standard (2023),AV Technical Support,No display / HDMI handshake,Yes,Yes,Resolved,15.32,Same day (1-24h),Faculty8986653,A. Okafor
INC0200655,2025-02-14,14,Friday,WIE-404,Yes,NVX standard (2023),Consultation,AV consultation / training,No,No,Resolved,19.57,Same day (1-24h),Faculty4409483,D. Lindqvist
INC0200246,2025-02-18,8,Tuesday,WIE-105,Yes,NVX standard (2023),AV Technical Support,No display / HDMI handshake,Yes,No,Resolved,86.53,Within a week,Faculty6457221,D. Lindqvist
INC0200282,2025-02-18,11,Tuesday,WIE-355,Yes,Legacy matrix (2017),Setup & Configuration,Event / class AV setup,No,No,Resolved,64.02,Within a week,Student7477484,M. Reyes
INC0200439,2025-02-18,17,Tuesday,WIE-142,Yes,Legacy matrix (2017),Lecture Capture,Recording failed / not captured,No,No,Resolved,1.47,Same day (1-24h),Faculty838444,A. Okafor
INC0200159,2025-02-20,8,Thursday,WIE-318,Yes,NVX standard (2023),Lecture Capture,Capture scheduling / setup,No,No,Resolved,87.33,Within a week,Student8215648,A. Okafor
INC0200656,2025-02-20,11,Thursday,WIE-404,Yes,NVX standard (2023),Consultation,AV consultation / training,No,Yes,Resolved,215.85,Over a week,Faculty1121645,A. Okafor
INC0200173,2025-02-20,14,Thursday,WIE-312,Yes,Legacy matrix (2017),Webconferencing,Camera / PTZ,No,No,Resolved,46.43,Within a week,Staff9708272,A. Okafor
INC0200628,2025-02-21,12,Friday,Unattributed,No,Unattributed,Setup & Configuration,Event / class AV setup,No,No,Resolved,42.05,Within a week,Faculty6367046,M. Reyes
INC0200363,2025-02-22,14,Saturday,WIE-148,Yes,NVX standard (2023),Lecture Capture,Recording failed / not captured,No,No,Resolved,8.47,Same day (1-24h),Faculty5141667,A. Okafor
INC0200492,2025-02-22,16,Saturday,WIE-352,Yes,NVX early rollout (2021),AV Technical Support,Podium PC / login,No,No,Resolved,1.6,Same day (1-24h),Faculty5294665,D. Lindqvist
INC0200261,2025-02-24,12,Monday,WIE-148,Yes,NVX standard (2023),AV Technical Support,Podium PC / login,No,No,Resolved,92.85,Within a week,Faculty5714153,R. Calloway
INC0200596,2025-02-24,16,Monday,WIE-412,Yes,NVX standard (2023),Lecture Capture,Recording failed / not captured,No,No,Resolved,4.12,Same day (1-24h),Student1973613,K. Duval
INC0200199,2025-02-25,18,Tuesday,Unattributed,No,Unattributed,AV Technical Support,No display / HDMI handshake,Yes,No,Open,,Open,Faculty5152393,S. Patel
INC0200223,2025-02-26,8,Wednesday,WIE-343,Yes,Legacy matrix (2017),AV Technical Support,No display / HDMI handshake,Yes,No,Resolved,0.03,Under 1 hour,Faculty4427373,S. Patel
INC0200388,2025-02-28,9,Friday,Unattributed,No,Unattributed,Lecture Capture,Recording failed / not captured,No,No,Resolved,0.52,Under 1 hour,Staff1531567,A. Okafor
INC0200224,2025-03-01,8,Saturday,WIE-343,Yes,Legacy matrix (2017),AV Technical Support,No display / HDMI handshake,Yes,Yes,Resolved,0.28,Under 1 hour,Faculty2893004,E. Marsh
INC0200708,2025-03-01,12,Saturday,WIE-142,Yes,Legacy matrix (2017),AV Technical Support,Audio / microphone,No,No,Resolved,29.03,Within a week,Faculty9474521,D. Lindqvist
INC0200247,2025-03-01,14,Saturday,Unattributed,No,Unattributed,AV Technical Support,No display / HDMI handshake,Yes,No,Resolved,7.2,Same day (1-24h),Student1289469,M. Reyes
INC0200301,2025-03-05,10,Wednesday,WIE-251,Yes,Legacy matrix (2017),Lecture Capture,Recording failed / not captured,No,No,Resolved,5.55,Same day (1-24h),Staff1828361,A. Okafor
INC0200597,2025-03-05,20,Wednesday,WIE-412,Yes,NVX standard (2023),Lecture Capture,Recording failed / not captured,No,Yes,Resolved,148.07,Within a week,Faculty6330518,T. Nakamura
INC0200389,2025-03-06,14,Thursday,WIE-318,Yes,NVX standard (2023),Lecture Capture,Recording failed / not captured,No,No,Resolved,15.85,Same day (1-24h),Faculty6156585,A. Okafor
INC0200604,2025-03-06,15,Thursday,Unattributed,No,Unattributed,Setup & Configuration,Event / class AV setup,No,No,Resolved,1840.97,Over a week,Staff4849651,K. Duval
INC0200197,2025-03-07,11,Friday,WIE-142,Yes,Legacy matrix (2017),AV Technical Support,Audio / microphone,No,Yes,Resolved,0.48,Under 1 hour,Student2803013,M. Reyes
INC0200200,2025-03-08,8,Saturday,Unattributed,No,Unattributed,AV Technical Support,No display / HDMI handshake,Yes,No,Resolved,0.48,Under 1 hour,Staff3806372,A. Okafor
INC0200198,2025-03-09,10,Sunday,WIE-142,Yes,Legacy matrix (2017),AV Technical Support,Audio / microphone,No,Yes,Resolved,0.23,Under 1 hour,Student3991243,M. Reyes
INC0200067,2025-03-10,13,Monday,WIE-258,Yes,NVX early rollout (2021),Lecture Capture,Recording failed / not captured,No,No,Resolved,86.0,Within a week,Faculty1868359,A. Okafor
INC0200370,2025-03-11,9,Tuesday,Unattributed,No,Unattributed,AV Technical Support,No display / HDMI handshake,Yes,No,Resolved,0.7,Under 1 hour,Faculty7524519,L. Ferreira
INC0200500,2025-03-11,13,Tuesday,WIE-355,Yes,Legacy matrix (2017),AV Technical Support,No display / HDMI handshake,Yes,No,Resolved,0.03,Under 1 hour,Staff9725477,J. Whitfield
INC0200066,2025-03-11,17,Tuesday,WIE-105,Yes,NVX standard (2023),Equipment Maintenance & Repair,Cabling / connectors,No,No,Resolved,60.63,Within a week,Faculty8719611,A. Okafor
INC0200371,2025-03-12,9,Wednesday,Unattributed,No,Unattributed,AV Technical Support,No display / HDMI handshake,Yes,No,Resolved,3.02,Same day (1-24h),Faculty9810612,M. Reyes
INC0200579,2025-03-12,12,Wednesday,WIE-521,Yes,NVX standard (2023),Setup & Configuration,Event / class AV setup,No,No,Open,,Open,Student5563357,M. Reyes
INC0200035,2025-03-12,20,Wednesday,WIE-343,Yes,Legacy matrix (2017),Lecture Capture,Recording failed / not captured,No,No,Resolved,36.95,Within a week,Staff9533009,S. Patel
INC0200713,2025-03-13,9,Thursday,WIE-110,Yes,NVX standard (2023),Lecture Capture,Recording failed / not captured,No,No,Resolved,30.1,Within a week,Faculty4142366,A. Okafor
INC0200153,2025-03-13,19,Thursday,WIE-312,Yes,Legacy matrix (2017),Consultation,AV consultation / training,No,No,Resolved,134.32,Within a week,Student5325586,M. Reyes
INC0200178,2025-03-14,15,Friday,WIE-318,Yes,NVX standard (2023),Webconferencing,Zoom/Teams AV routing,No,No,Resolved,50.6,Within a week,Faculty9161262,A. Okafor
INC0200179,2025-03-18,14,Tuesday,WIE-318,Yes,NVX standard (2023),Webconferencing,Zoom/Teams AV routing,No,Yes,Resolved,0.03,Under 1 hour,Faculty3301483,A. Okafor
INC0200042,2025-03-19,18,Wednesday,Unattributed,No,Unattributed,Webconferencing,Camera / PTZ,No,No,Open,,Open,Faculty4236131,A. Okafor
INC0200448,2025-03-20,10,Thursday,Unattributed,No,Unattributed,Webconferencing,Zoom/Teams AV routing,No,No,Resolved,23.23,Same day (1-24h),Faculty5949294,D. Lindqvist
INC0200217,2025-03-20,12,Thursday,Unattributed,No,Unattributed,Equipment Maintenance & Repair,Cabling / connectors,No,No,Resolved,27.4,Within a week,Student5379286,M. Reyes
INC0200043,2025-03-21,13,Friday,WIE-105,Yes,NVX standard (2023),Webconferencing,Camera / PTZ,No,No,Resolved,28.92,Within a week,Faculty2040059,S. Patel
INC0200501,2025-03-22,9,Saturday,WIE-355,Yes,Legacy matrix (2017),AV Technical Support,No display / HDMI handshake,Yes,Yes,Resolved,75.93,Within a week,Staff8715657,D. Lindqvist
INC0200099,2025-03-24,9,Monday,WIE-544,Yes,NVX standard (2023),AV Technical Support,Audio / microphone,No,No,Resolved,1.28,Same day (1-24h),Faculty2952239,E. Marsh
INC0200036,2025-03-24,9,Monday,WIE-343,Yes,Legacy matrix (2017),Lecture Capture,Recording failed / not captured,No,Yes,Resolved,7.45,Same day (1-24h),Student9937633,M. Reyes
INC0200512,2025-03-25,12,Tuesday,WIE-343,Yes,Legacy matrix (2017),AV Technical Support,No display / HDMI handshake,Yes,No,Resolved,3.67,Same day (1-24h),Student748674,A. Okafor
INC0200583,2025-03-26,9,Wednesday,WIE-251,Yes,Legacy matrix (2017),AV Technical Support,No display / HDMI handshake,Yes,No,Resolved,4.18,Same day (1-24h),Student4798572,D. Lindqvist
INC0200663,2025-03-26,21,Wednesday,Unattributed,No,Unattributed,Equipment Maintenance & Repair,Preventative maintenance,No,No,Resolved,16.85,Same day (1-24h),Faculty6394226,D. Lindqvist
INC0200420,2025-03-28,13,Friday,WIE-343,Yes,Legacy matrix (2017),Equipment Maintenance & Repair,Projector lamp / image quality,No,No,Open,,Open,Student4026671,T. Nakamura
INC0200534,2025-03-28,15,Friday,WIE-312,Yes,Legacy matrix (2017),Lecture Capture,Capture scheduling / setup,No,No,Resolved,44.13,Within a week,Student3634483,T. Nakamura
INC0200449,2025-03-29,17,Saturday,WIE-258,Yes,NVX early rollout (2021),Webconferencing,Zoom/Teams AV routing,No,No,Resolved,0.03,Under 1 hour,Faculty8068449,T. Nakamura
INC0200068,2025-03-31,10,Monday,WIE-412,Yes,NVX standard (2023),AV Technical Support,Control system / touch panel,No,No,Resolved,0.08,Under 1 hour,Staff1724507,S. Patel
INC0200535,2025-04-01,15,Tuesday,WIE-142,Yes,Legacy matrix (2017),Equipment Maintenance & Repair,Cabling / connectors,No,No,Resolved,344.78,Over a week,Student9077130,J. Whitfield
INC0200368,2025-04-02,18,Wednesday,WIE-148,Yes,NVX standard (2023),Lecture Capture,Recording failed / not captured,No,No,Resolved,49.42,Within a week,Student2444110,A. Okafor
INC0200046,2025-04-05,11,Saturday,Unattributed,No,Unattributed,AV Technical Support,No display / HDMI handshake,Yes,No,Resolved,0.17,Under 1 hour,Student8299320,T. Nakamura
